Product_Name,Category,Current_Price,Old_Price,Discount,Total_Ratings,Image_Link,Review_Rating,Review_Date,Verified_Purchase,Review_Text
Philly 20000mAh Power Charging Bank  Type-C Input,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 8,490","₦ 13,875",39%,(12459 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/5791463/1.jpg?3290,5 out of 5,No Date,Yes,Portable in size
Philly 20000mAh Power Charging Bank  Type-C Input,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 8,490","₦ 13,875",39%,(12459 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/5791463/1.jpg?3290,5 out of 5,No Date,Yes,Very durable
Philly 20000mAh Power Charging Bank  Type-C Input,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 8,490","₦ 13,875",39%,(12459 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/5791463/1.jpg?3290,5 out of 5,No Date,Yes,It has the quality as expected
Philly 20000mAh Power Charging Bank Portable Charger Ultra Slim,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 7,752","₦ 13,057",41%,(18675 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/7345413/1.jpg?6266,1 out of 5,No Date,Yes,Strong and powerful. Been using for a year
Philly 20000mAh Power Charging Bank Portable Charger Ultra Slim,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 7,752","₦ 13,057",41%,(18675 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/7345413/1.jpg?6266,5 out of 5,No Date,Yes,Always on full bar
Philly 20000mAh Power Charging Bank Portable Charger Ultra Slim,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 7,752","₦ 13,057",41%,(18675 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/7345413/1.jpg?6266,3 out of 5,No Date,Yes,Tested and trusted power Bank
Philly 30000mAh Power Charging Bank,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 14,640","₦ 32,820",55%,(4882 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/3528383/1.jpg?5824,5 out of 5,No Date,Yes,It very good and last long
Philly 30000mAh Power Charging Bank,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 14,640","₦ 32,820",55%,(4882 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/3528383/1.jpg?5824,5 out of 5,No Date,Yes,Good
Philly 30000mAh Power Charging Bank,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 14,640","₦ 32,820",55%,(4882 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/3528383/1.jpg?5824,5 out of 5,No Date,Yes,"This one of the best power bank HAR ever buy 
It have strong energy power supply 
Very strong power bank 
Since have been using it it haven’t minus to 75%"
Philly 50000 MAh Power Charging Bank,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 24,750","₦ 39,390",37%,(1933 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/2328383/1.jpg?7295,5 out of 5,No Date,Yes,It's a powerful bank guys
Philly 50000 MAh Power Charging Bank,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 24,750","₦ 39,390",37%,(1933 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/2328383/1.jpg?7295,5 out of 5,No Date,Yes,Very Good
Philly 50000 MAh Power Charging Bank,Home > Phones & Tablets > Mobile Phone Accessories > Batteries & Battery Packs > Portable Power Banks,"₦ 24,750","₦ 39,390",37%,(1933 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/2328383/1.jpg?7295,5 out of 5,No Date,Yes,Very nice
HANSEN 18 inches industrial level standing fan,"Home > Home & Office > Home & Kitchen > Heaters, Air Cooling & Purification > Household Fans > Standing Fans","₦ 18,235","₦ 20,060",9%,(8062 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/7026814/1.jpg?2243,1 out of 5,No Date,Yes,"The legs should be,3 legs"
